,Code,Code/Description,header,subheader,sub-subheader,Year,Amount,page_type
0,2037,Customs,GENERAL SERVICES-Contd.,Customs,Collection of Taxes on Commodities and Services-,2022,54452.37,Disbursements
1,2039,State Excise,GENERAL SERVICES-Contd.,State Excise,Collection of Taxes on Commodities and Services-,2022,7.23,Disbursements
2,2040,"Taxes on Sales, Trade etc.",GENERAL SERVICES-Contd.,"Taxes on Sales, Trade etc.",Collection of Taxes on Commodities and Services-,2022,10.54,Disbursements
3,2041,Taxes on Vehicles,GENERAL SERVICES-Contd.,Taxes on Vehicles,Collection of Taxes on Commodities and Services-,2022,13.09,Disbursements
4,2042,Collection Charges under Central Goods Services Tax and Integrated Goods Services Tax,GENERAL SERVICES-Contd.,Collection Charges under Central Goods Services Tax and Integrated Goods Services Tax,Collection of Taxes on Commodities and Services-,2022,5362.52,Disbursements
5,2044,Collection charges under Union Territory Goods and Services Tax,GENERAL SERVICES-Contd.,Collection charges under Union Territory Goods and Services Tax,Collection of Taxes on Commodities and Services-,2022,3.05,Disbursements
6,2045,Other Taxes and Duties on Commodities and Services,GENERAL SERVICES-Contd.,Other Taxes and Duties on Commodities and Services,Collection of Taxes on Commodities and Services-,2022,0.24,Disbursements
7,,TOTAL-Collection of Taxes on Commodities and Services,GENERAL SERVICES-Contd.,TOTAL-Collection of Taxes on Commodities and Services,Collection of Taxes on Commodities and Services-,2022,59849.04,Disbursements
8,2047,Other Fiscal Services,GENERAL SERVICES-Contd.,Other Fiscal Services,-Other Fiscal Services-,2022,583.77,Disbursements
9,,TOTAL-Other Fiscal Services,GENERAL SERVICES-Contd.,TOTAL-Other Fiscal Services,-Other Fiscal Services-,2022,583.77,Disbursements
10,,TOTALFISCAL SERVICES,GENERAL SERVICES-Contd.,TOTALFISCAL SERVICES,-Other Fiscal Services-,2022,68064.47,Disbursements
11,2048,Appropriation for Reduction or Avoidance of Debt,GENERAL SERVICES-Contd.,-Interest Payments and Servicing of Debt-,Appropriation for Reduction or Avoidance of Debt,2022,5241.31,Disbursements
12,2049,Interest Payments,GENERAL SERVICES-Contd.,-Interest Payments and Servicing of Debt-,Interest Payments,2022,823011.27,Disbursements
13,,TOTALINTEREST PAYMENTS AND SERVICING OF DEBT,GENERAL SERVICES-Contd.,-Interest Payments and Servicing of Debt-,TOTALINTEREST PAYMENTS AND SERVICING OF DEBT,2022,828252.58,Disbursements
14,2037,Customs,GENERAL SERVICES-Contd.,Customs,Collection of Taxes on Commodities and Services-,2021,4611.15,Disbursements
15,2039,State Excise,GENERAL SERVICES-Contd.,State Excise,Collection of Taxes on Commodities and Services-,2021,7.03,Disbursements
16,2040,"Taxes on Sales, Trade etc.",GENERAL SERVICES-Contd.,"Taxes on Sales, Trade etc.",Collection of Taxes on Commodities and Services-,2021,7.92,Disbursements
17,2041,Taxes on Vehicles,GENERAL SERVICES-Contd.,Taxes on Vehicles,Collection of Taxes on Commodities and Services-,2021,12.97,Disbursements
18,2042,Collection Charges under Central Goods Services Tax and Integrated Goods Services Tax,GENERAL SERVICES-Contd.,Collection Charges under Central Goods Services Tax and Integrated Goods Services Tax,Collection of Taxes on Commodities and Services-,2021,5089.52,Disbursements
19,2044,Collection charges under Union Territory Goods and Services Tax,GENERAL SERVICES-Contd.,Collection charges under Union Territory Goods and Services Tax,Collection of Taxes on Commodities and Services-,2021,0.9,Disbursements
20,2045,Other Taxes and Duties on Commodities and Services,GENERAL SERVICES-Contd.,Other Taxes and Duties on Commodities and Services,Collection of Taxes on Commodities and Services-,2021,0.21,Disbursements
21,,TOTAL-Collection of Taxes on Commodities and Services,GENERAL SERVICES-Contd.,TOTAL-Collection of Taxes on Commodities and Services,Collection of Taxes on Commodities and Services-,2021,9729.7,Disbursements
22,2047,Other Fiscal Services,GENERAL SERVICES-Contd.,Other Fiscal Services,-Other Fiscal Services-,2021,586.61,Disbursements
23,,TOTAL-Other Fiscal Services,GENERAL SERVICES-Contd.,TOTAL-Other Fiscal Services,-Other Fiscal Services-,2021,586.61,Disbursements
24,,TOTALFISCAL SERVICES,GENERAL SERVICES-Contd.,TOTALFISCAL SERVICES,-Other Fiscal Services-,2021,17680.87,Disbursements
25,2048,Appropriation for Reduction or Avoidance of Debt,GENERAL SERVICES-Contd.,-Interest Payments and Servicing of Debt-,Appropriation for Reduction or Avoidance of Debt,2021,9047.37,Disbursements
26,2049,Interest Payments,GENERAL SERVICES-Contd.,-Interest Payments and Servicing of Debt-,Interest Payments,2021,711936.56,Disbursements
27,,TOTALINTEREST PAYMENTS AND SERVICING OF DEBT,GENERAL SERVICES-Contd.,-Interest Payments and Servicing of Debt-,TOTALINTEREST PAYMENTS AND SERVICING OF DEBT,2021,720983.93,Disbursements
