,Code,Code/Description,header,subheader,sub-subheader,Year,Amount,page_type
0,0851,Village and Small Industries,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2018,48.47,Receipts
1,0852,Industries,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2018,1861.48,Receipts
2,0853,Non-Ferrous Mining and Metallurgical Industries,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2018,1216.75,Receipts
3,0875,Other Industries,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2018,182.65,Receipts
4,1001,Indian Railways-Miscellaneous Receipts,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2018,204.33,Receipts
5,1002,Indian Railways-Commercial Lines- Revenue Receipts,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2018,176779.16,Receipts
6,1003,Indian Railways-Strategic Lines- Revenue Receipt,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2018,1946.15,Receipts
7,1051,Ports and Light Houses,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2018,370.99,Receipts
8,1052,Shipping,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2018,153.06,Receipts
9,1053,Civil Aviation,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2018,81.05,Receipts
10,1054,Roads and Bridges,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2018,9072.52,Receipts
11,1055,Road Transport,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2018,160.89,Receipts
12,1056,Inland Water Transport,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2018,20.53,Receipts
13,1201,Postal Receipts,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2018,12832.76,Receipts
14,1275,Other Communication Services,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2018,32065.9,Receipts
15,1401,Atomic Energy Research,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2018,84.09,Receipts
16,1425,Other Scientific Research,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2018,1043.11,Receipts
17,1452,Tourism,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2018,18.04,Receipts
18,1453,fae aTUR 3i fa viqe Foreign Trade and Export Promotion,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2018,230.13,Receipts
19,1456,Civil Supplies,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2018,6.38,Receipts
20,nan,TOTAL (iii) ECONOMIC SERVICES,NON-TAXREVENUE,Other Non-Tax Revenue,ECONOMIC SERVICES,2018,258591.73,Receipts
21,nan,TOTAL (c) OTHER NON-TAX REVENUE,NON-TAXREVENUE,OTHER NONTAX REVENUE,,2018,303823.6,Receipts
22,nan,TOTALB-NON-TAX REVENUE,NON-TAXREVENUE,OTHER NONTAX REVENUE,,2018,441382.66,Receipts
23,0851,Village and Small Industries,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2017,30.63,Receipts
24,0852,Industries,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2017,3046.11,Receipts
25,0853,Non-Ferrous Mining and Metallurgical Industries,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2017,17.08,Receipts
26,0875,Other Industries,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2017,219.19,Receipts
27,1001,Indian Railways-Miscellaneous Receipts,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2017,90.29,Receipts
28,1002,Indian Railways-Commercial Lines- Revenue Receipts,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2017,161582.66,Receipts
29,1003,Indian Railways-Strategic Lines- Revenue Receipt,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2017,3709.54,Receipts
30,1051,Ports and Light Houses,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2017,397.69,Receipts
31,1052,Shipping,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2017,178.8,Receipts
32,1053,Civil Aviation,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2017,57.59,Receipts
33,1054,Roads and Bridges,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2017,7326.25,Receipts
34,1055,Road Transport,NON-TAXREVENUE,Other Non-Tax Revenue,Economic Services,2017,151.43,Receipts
