,HindiCode,Code/Description,2021-2022,2020-2021
0,11,,,
1,"fau d, WOR",,,
2,"FINANCE ACCOUNTS, UNION GOVERNMENT",,,
3,1aIAIH 14 12-Le I 1hk,,,
4,No. 1-SUMMARY OF TRANSACTIONS,,,
5,drvafac 3tihs,,,
6,Actuals,,,
7,Disbursements,2021-2022,2020-2021,
8,2,3,,
9,( ihe S1A4),,,
10,(In crores of rupees),,,
11,HITI-d f- PARTI CONSOLIDATEDFUNDREVENUE-Contd.,I-d f- PARTI CONSOLIDATEDFUNDREVENUE-Contd.,,
12,a ad ( e)u,EXPENDITURE HEADS (REVENUE ACCOUNT)-Contd.,,
13,(-Slb blhll-4,A-GENERAL SERVICES-Contd.,,
14,(iii) aegen any varen u aet,(iii) Collection of Taxes on Commodities,,
15,-lo3th 14,and Services-,,
16,2037- 94-20ch,2037- Customs,54452.37,4611.15
17,4ota blhe bAld-6E07,2039- State Excise,7.23,7.03
18,"2040 fast, CT4T 3Tf9 U OY","2040- Taxes on Sales, Trade etc.",10.54,7.92
19,2041- 418- 9 e,2041- Taxes on Vehicles,13.09,12.97
20,,2042 aly avd Ud Halchy TelT,2042,Collection Charges under Central
21,4 Ac 1bte bi Bib Diblen,Goods Services Tax and Integrated,,
22,,Goods Services Tax,5362.52,5089.52
23,2044 T O HaTy 2044 Collection charges under Union,,,
24,,Territory Goods and Services Tax,3.05,0.9
25,2045 arg3n 3 HaT3n U 31-4,2045- Other Taxes and Duties on Commodities,,
26,oe 311 9och,and Services,0.24,0.21
27,ad-argan an varen,TOTAL-Collection of Taxes on Commodities,,
28,In2th 14 124 2h,and Services,59849.04,9729.7
29,(iv)- 3-4 uo Hare,(iv)-Other Fiscal Services-,,
30,,2047- Other Fiscal Services,583.77,586.61
31,,TOTAL-Other Fiscal Services,583.77,586.61
32,,TOTALFISCAL SERVICES,68064.47,17680.87
33,()2 3 2T,(c)-Interest Payments and Servicing,,
34,uReie-,of Debt-,,
35,2048 FE0T a CA 2T YRE On,2048- Appropriation for Reduction or,,
36,farg faf,Avoidance of Debt,5241.31,9047.37
37,2049 2T0T 3TaTfTa,2049- Interest Payments,823011.27,711936.56
38,a0-210 344 31 E0T,TOTALINTEREST PAYMENTS AND,,
39,,SERVICING OF DEBT,828252.58,720983.93
